Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-03-03,No Time to Die,2021,https://boxd.it/5XsaAv,3.5,,"imax, odeonoslo",2021-10-03
2022-09-26,A Clockwork Orange,1971,https://boxd.it/3gcC85,5,,,2022-07-25
2022-08-21,Hotel Chevalier,2007,https://boxd.it/39mZfb,3.5,,,2022-08-20
2022-09-14,The Royal Tenenbaums,2001,https://boxd.it/3dTvAl,,,,2022-09-05
2022-09-14,Primer,2004,https://boxd.it/3dUtnV,3,Yes,,2022-09-13
2022-12-18,Oldboy,2003,https://boxd.it/3xMjar,5,Yes,,2022-12-17
2023-01-26,Forgotten,2017,https://boxd.it/3LjlsF,2,Yes,,2023-01-25
2023-04-13,Olsenbanden - Siste skrik!,2022,https://boxd.it/471ifl,0.5,Yes,,2023-04-12
2023-04-27,Mishima: A Life in Four Chapters,1985,https://boxd.it/4aI1Er,,,,2023-04-26
2023-04-27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/4aIasp,,,,2023-04-26
2023-05-29,Arrival,2016,https://boxd.it/4iPiM9,4,,,2023-05-28
2023-08-22,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/4JCd6p,5,Yes,,2023-08-21
2023-08-30,Lykkejegerne,,https://boxd.it/4M0qkv,,,"vegaoslo, pix",2023-08-29
2023-09-04,Possession,2022,https://boxd.it/4NqFMv,,,,2023-09-03
2023-09-17,Kaizers Orchestra - Siste Dans,2013,https://boxd.it/4R8D3D,5,,,2023-09-16
2023-09-25,El Conde,2023,https://boxd.it/4To16z,,,,2023-09-24
2023-09-26,Himiko,1974,https://boxd.it/4TIM83,,,,2023-09-25
2023-10-12,Shivers,1975,https://boxd.it/4YRM1z,,,,2023-10-11
2023-12-26,Sonic the Hedgehog 2,2022,https://boxd.it/5oDVV3,1.5,,norskdub,2023-12-25
2023-12-31,Rebel Moon – Part One: A Child of Fire,2023,https://boxd.it/5roqU1,1.5,,,2023-12-30
2024-01-23,The Match Factory Girl,1990,https://boxd.it/5F3zHz,5,Yes,,2024-01-22
2024-03-22,New World,2013,https://boxd.it/66qLmn,,,,2024-03-21
2024-05-19,Songs of Earth,2023,https://boxd.it/6uO9GD,,,,2024-05-18
2024-05-28,Her,2013,https://boxd.it/6yKyfv,,Yes,,2024-05-27
2024-06-27,Offline,2023,https://boxd.it/6KZYml,,,,2024-06-27
