Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-25,Gode tegninger,,https://boxd.it/kOyyC,

Position,Name,Year,URL,Description
1,Berserk,1997,https://boxd.it/pzgM,
2,Akira,1988,https://boxd.it/2b1i,
3,Princess Mononoke,1997,https://boxd.it/2b4w,
4,Spirited Away,2001,https://boxd.it/2b4m,
5,Howl's Moving Castle,2004,https://boxd.it/23De,
6,My Neighbor Totoro,1988,https://boxd.it/20eA,
7,Castle in the Sky,1986,https://boxd.it/1W4G,
8,Devilman Crybaby,2018,https://boxd.it/muwa,
9,Devilman - Volume 1: The Birth,1987,https://boxd.it/bV2,
10,Death Note,2006,https://boxd.it/psEs,
11,Cowboy Bebop,1998,https://boxd.it/ptES,
12,BLUE EYE SAMURAI,2023,https://boxd.it/JH9k,
13,Suzume,2022,https://boxd.it/yv7Y,
14,Scavengers Reign,2023,https://boxd.it/K7fI,
15,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
