Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-18,Rewatch 2024,,https://boxd.it/s9XNM,

Position,Name,Year,URL,Description
1,Decision to Leave,2022,https://boxd.it/qp9e,
2,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
3,The Lobster,2015,https://boxd.it/7tnw,
4,The Northman,2022,https://boxd.it/nK2s,
5,Chungking Express,1994,https://boxd.it/1UDa,
6,The Favourite,2018,https://boxd.it/d2hI,
7,Dogtooth,2009,https://boxd.it/158K,
8,Naked,1993,https://boxd.it/1BT4,
9,The Boy and the Heron,2023,https://boxd.it/ipeM,
10,The Village,2004,https://boxd.it/21iS,
11,Tits,2023,https://boxd.it/Ghcc,
12,Cure,1997,https://boxd.it/1blA,
13,Persona,1966,https://boxd.it/29B4,
14,Parasite,2019,https://boxd.it/hTha,
15,Call Me by Your Name,2017,https://boxd.it/dYmm,
16,The Lighthouse,2019,https://boxd.it/icFU,
17,Memories of Murder,2003,https://boxd.it/1TSo,
18,Mother,2009,https://boxd.it/1m9g,
19,I Saw the Devil,2010,https://boxd.it/FaK,
20,Burning,2018,https://boxd.it/hHUa,
21,Joint Security Area,2000,https://boxd.it/26Ja,
22,Fallen Angels,1995,https://boxd.it/1UkW,
23,Poor Things,2023,https://boxd.it/tNWU,
24,Godzilla Minus One,2023,https://boxd.it/zu4c,
25,What Creeps Out at Night,2023,https://boxd.it/IpHw,
26,Midsommar,2019,https://boxd.it/jhxe,
27,The Wailing,2016,https://boxd.it/9fLy,
28,Perfect Days,2023,https://boxd.it/ATh8,
