Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-18,Dunkirk,2017,https://boxd.it/38V6Cv,5,Yes,,2022-07-31
2022-08-19,Drive,2011,https://boxd.it/38ZMm3,3.5,,,2022-08-04
2022-08-17,This Much I Know to Be True,2022,https://boxd.it/38zbep,4,,,2022-08-07
2022-08-17,Cinema Paradiso,1988,https://boxd.it/38yPyd,5,,,2022-08-15
2022-08-17,Aloners,2021,https://boxd.it/38CZw5,3.5,,,2022-08-16
2022-08-19,Vegg Vegg Vegg,2022,https://boxd.it/38XGRP,4.5,,,2022-08-18
2022-08-19,The Thing,1982,https://boxd.it/38YyBB,5,,,2022-08-18
2022-08-19,Escape from New York,1981,https://boxd.it/390c95,4,,,2022-08-18
2022-08-20,Death Proof,2007,https://boxd.it/3983qn,4,,,2022-08-19
2022-08-21,Rushmore,1998,https://boxd.it/39mzff,3,,,2022-08-20
2022-08-23,Amélie,2001,https://boxd.it/39OwGt,4.5,,,2022-08-22
2022-08-24,Eyes Wide Shut,1999,https://boxd.it/3a0IKr,4,,,2022-08-23
2022-08-25,Dune,2021,https://boxd.it/3a8j89,4.5,Yes,,2022-08-24
2022-08-26,In the Mood for Love,2000,https://boxd.it/3akNUV,3.5,,,2022-08-25
2022-08-30,Castello Cavalcanti,2013,https://boxd.it/3b8IwJ,3,,,2022-08-29
2022-08-31,The Innocents,2021,https://boxd.it/3bje6j,3.5,,,2022-08-30
2022-08-31,Devilman - Volume 1: The Birth,1987,https://boxd.it/3bk9Fl,3,,,2022-08-30
2022-09-05,One Fine Morning,2022,https://boxd.it/3cdeYx,4,,"vegaoslo, pix, førpremiere",2022-09-04
2022-09-07,mid90s,2018,https://boxd.it/3cCQlt,4.5,Yes,,2022-09-06
2022-09-12,Thor: Love and Thunder,2022,https://boxd.it/3dx5VX,4,,,2022-09-11
2022-09-14,The Conformist,1970,https://boxd.it/3dTsqd,4,,,2022-09-13
2022-09-14,Primer,2004,https://boxd.it/3dUt61,3,,,2022-09-13
2022-09-15,A Short Film About Love,1988,https://boxd.it/3e3AM7,4.5,,,2022-09-14
