Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-03,Hype 2024,,https://boxd.it/sI70S,

Position,Name,Year,URL,Description
1,Nosferatu,2024,https://boxd.it/f5eG,
2,Mickey 17,2025,https://boxd.it/q1Dk,
3,Perfect Days,2023,https://boxd.it/ATh8,
4,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs,
5,Megalopolis,2024,https://boxd.it/lPBS,
6,Challengers,2024,https://boxd.it/zld0,
7,Evil Does Not Exist,2023,https://boxd.it/HJrc,
8,Kinds of Kindness,2024,https://boxd.it/CWPw,
9,The Brutalist,2024,https://boxd.it/k4BO,
10,Uzumaki,2024,https://boxd.it/nimO,
