Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-25,Jfilm,,https://boxd.it/kNLK0,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Fallen Angels,1995,https://boxd.it/1UkW,
3,Harakiri,1962,https://boxd.it/1NTU,
4,Memories of Murder,2003,https://boxd.it/1TSo,
5,Oldboy,2003,https://boxd.it/29R2,
6,Akira,1988,https://boxd.it/2b1i,
7,Decision to Leave,2022,https://boxd.it/qp9e,
8,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
9,Lady Vengeance,2005,https://boxd.it/248G,
10,Mother,2009,https://boxd.it/1m9g,
11,The Handmaiden,2016,https://boxd.it/948A,
12,Yojimbo,1961,https://boxd.it/1SRY,
13,I Saw the Devil,2010,https://boxd.it/FaK,
14,Ran,1985,https://boxd.it/1Tlu,
15,The Housemaid,1960,https://boxd.it/WJs,
16,Chungking Express,1994,https://boxd.it/1UDa,
17,The Raid 2,2014,https://boxd.it/5uz0,
18,Like Someone in Love,2012,https://boxd.it/3tOu,
19,In the Mood for Love,2000,https://boxd.it/29tE,
20,Aloners,2021,https://boxd.it/ujeK,
21,The Host,2006,https://boxd.it/28ZY,
22,Train to Busan,2016,https://boxd.it/dSQU,
23,The Raid,2011,https://boxd.it/3hBy,
24,Fearless,2006,https://boxd.it/20Qa,
25,Berserk,1997,https://boxd.it/pzgM,
26,Forgotten,2017,https://boxd.it/hAJE,
27,Battle Royale,2000,https://boxd.it/25zS,
28,The Call,2020,https://boxd.it/l94W,
29,Judgement,1999,https://boxd.it/17p4,
30,"The Good, the Bad, the Weird",2008,https://boxd.it/1MSG,
31,Violated Angels,1967,https://boxd.it/rbE,
32,Shin Godzilla,2016,https://boxd.it/a9lm,
33,"Go, Go Second Time Virgin",1969,https://boxd.it/2dkc,
34,Joint Security Area,2000,https://boxd.it/26Ja,
35,Cure,1997,https://boxd.it/1blA,
36,Godzilla Minus One,2023,https://boxd.it/zu4c,
37,The Wailing,2016,https://boxd.it/9fLy,
38,Silenced,2011,https://boxd.it/2QGG,
39,Burning,2018,https://boxd.it/hHUa,
40,Ju-on: The Grudge,2002,https://boxd.it/1SY6,
41,Woman in the Dunes,1964,https://boxd.it/1JNS,
42,The Scent of Green Papaya,1993,https://boxd.it/1EWq,
43,Monster,2023,https://boxd.it/DJEM,
44,The Hidden Fortress,1958,https://boxd.it/295M,
45,New World,2013,https://boxd.it/588Q,
46,Perfect Days,2023,https://boxd.it/ATh8,
47,August in the Water,1995,https://boxd.it/3xQE,
