Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-24,Se med Ellinor,,https://boxd.it/AE63q,

Position,Name,Year,URL,Description
1,Perfect Days,2023,https://boxd.it/ATh8,
2,Angel's Egg,1985,https://boxd.it/1LeA,
3,Mad God,2021,https://boxd.it/vVPm,
4,Delicatessen,1991,https://boxd.it/29lK,
5,Detective Downs,2013,https://boxd.it/6zgY,
6,Ole Aleksander Filibom-bom-bom,1998,https://boxd.it/7mpg,
7,Scavengers Reign,2023,https://boxd.it/K7fI,
8,Burning,2018,https://boxd.it/hHUa,
9,The Brothers Lionheart,1977,https://boxd.it/1Udm,
10,"Ronia, the Robber's Daughter",1984,https://boxd.it/2aIq,
11,The Fifth Element,1997,https://boxd.it/71k,
12,A Muppet Family Christmas,1987,https://boxd.it/1Qy6,
13,Hayao Miyazaki and the Heron,2024,https://boxd.it/Njam,
14,Uno,2004,https://boxd.it/1GPc,
15,Fire of Love,2022,https://boxd.it/yoPY,
16,Parasite,2019,https://boxd.it/hTha,
17,Akira,1988,https://boxd.it/2b1i,
18,Mary Poppins,1964,https://boxd.it/2aoA,
19,Paul Bunyan,1958,https://boxd.it/Sk4,
20,Minari,2020,https://boxd.it/mL9M,
21,Next Door,2005,https://boxd.it/2a6c,
22,Here,2024,https://boxd.it/zscS,
23,Creation of the Gods I: Kingdom of Storms,2023,https://boxd.it/wllM,
