Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-02-07,VHS village 2022,,https://boxd.it/l5SWo,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Harakiri,1962,https://boxd.it/1NTU,
3,Fallen Angels,1995,https://boxd.it/1UkW,
4,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
5,Call Me by Your Name,2017,https://boxd.it/dYmm,
6,The Lighthouse,2019,https://boxd.it/icFU,
7,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
8,Apollo 11,2019,https://boxd.it/k4r0,
9,Akira,1988,https://boxd.it/2b1i,
