Date,Name,Year,Letterboxd URI,Rating
2022-08-17,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2022-08-17,This Much I Know to Be True,2022,https://boxd.it/yVwU,4
2022-08-17,Spirited Away,2001,https://boxd.it/2b4m,5
2022-08-17,Call Me by Your Name,2017,https://boxd.it/dYmm,5
2022-08-17,Parasite,2019,https://boxd.it/hTha,5
2022-08-17,Akira,1988,https://boxd.it/2b1i,5
2022-08-17,Black Bird,2022,https://boxd.it/BCSe,4.5
2022-08-17,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2
2022-08-17,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,1
2022-08-17,RRR,2022,https://boxd.it/ljDs,4
2022-08-17,The Matrix Resurrections,2021,https://boxd.it/n87k,2
2022-08-17,Don't Look Up,2021,https://boxd.it/o0Hc,2.5
2022-08-17,Red Notice,2021,https://boxd.it/ixtq,1.5
2022-08-17,Eternals,2021,https://boxd.it/j36o,1
2022-08-17,Venom: Let There Be Carnage,2021,https://boxd.it/llco,1.5
2022-08-17,No Time to Die,2021,https://boxd.it/cPX2,3.5
2022-08-17,Squid Game,2021,https://boxd.it/x1OG,3.5
2022-08-17,Nothing to Laugh About,2021,https://boxd.it/woF6,4
2022-08-17,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,0.5
2022-08-17,Free Guy,2021,https://boxd.it/k8dm,3
2022-08-17,Drive My Car,2021,https://boxd.it/sv94,5
2022-08-17,Luca,2021,https://boxd.it/ipjC,3.5
2022-08-17,Loki,2021,https://boxd.it/sbHg,2.5
2022-08-17,Army of the Dead,2021,https://boxd.it/ic7S,2
2022-08-17,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,4
2022-08-17,Mortal Kombat,2021,https://boxd.it/gswA,1.5
2022-08-17,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,2
2022-08-17,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,5
2022-08-17,Boss Level,2021,https://boxd.it/iAkw,3.5
2022-08-17,The Mole: Undercover in North Korea,2020,https://boxd.it/scR2,4.5
2022-08-17,Another Round,2020,https://boxd.it/lkba,4.5
2022-08-17,Tenet,2020,https://boxd.it/leq4,4
