Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-08-17,Cinema Paradiso,1988,https://boxd.it/38yPyd,5,,Et kjærlighetsbrev til film.,,2022-08-15
2022-08-18,Dunkirk,2017,https://boxd.it/38V6Cv,5,Yes,<i>Boom boom boom boom boom</i>. Tidenes krigsfilm shot.,,2022-07-31
2022-08-20,Death Proof,2007,https://boxd.it/3983qn,4,,<b>En frankenstein-rull</b>,,2022-08-19
2022-08-25,Dune,2021,https://boxd.it/3a8j89,4.5,Yes,Det legges mye arbe ned i Hans Zimmers musikkvideoer nå til dags,,2022-08-24
2023-01-12,Fallen Angels,1995,https://boxd.it/3GJmkf,5,,"Dette er en sanselig reise gjennom poetisk kinematografi. Wong Kar-wai har laga noe greier her som fyller hele potensialet til filmmediet. Check på alle bokser! 

Ny hobby: Sigge og skyte ting i sund. ",,2023-01-11
2023-01-17,The Witch,2015,https://boxd.it/3IvlZV,4,Yes,"En kul kommentar til gudfrykten på 1600 tallet men blir ikke veldig berørt av det her. 

Vi var litt ned i rødvinsflaska så vi pausa filmen midtveis og da på xrayen sto Daniel Malik oppført i scenen som black philip. Så hver gang jeg så den dumme geita så jeg for meg en fyr i motion capture drakt, helt til geita prater selvfølgelig - spoiler. Jeg måtte google og den geita heter faktisk Charlie den. Hvorfor er ikke Charlie oppført på imdb. ",,2023-01-16
2023-01-18,Face/Off,1997,https://boxd.it/3IQ7Wv,4,,"Jeg så ikke denne i 97 for da var jeg 5 men jeg fikk se tomorrow never dies.

Weeh",,2023-01-17
2023-01-21,Monster,2003,https://boxd.it/3JGKWN,3.5,Yes,Første gang jeg så denne var jeg altfor ung selvfølgelig og har masse dårlig minner fra den.,,2023-01-20
2023-01-22,Babylon,2022,https://boxd.it/3K375h,3.5,,Satt rett bak Mayoo på Klingen. Han synes den (og jeg quoter) «var litt lang»,klingenbergoslo,2023-01-21
2023-01-23,Bones and All,2022,https://boxd.it/3Kn387,3,,Litt forbløffet over at den ikke satt for meg,,2023-01-22
2023-01-24,Decision to Leave,2022,https://boxd.it/3KL2HX,4.5,,Rart å være på førpremiere når alle andre så denne for 4 måneder siden.,"vegaoslo, førpremiere",2023-01-23
2023-01-27,Superdupermegagigasingel,2022,https://boxd.it/3LzQCt,4,,Her erru god Marki,,2023-01-26
2023-02-02,Munch,2023,https://boxd.it/3NwQ49,4,,"<b>Munch er tidløs</b>? Ern ikke det da. Forut for sin tid i det minste. Digga det her jeg (tror jeg)

Var på spesialvisning på Vega må vite. De sa noe greier etter filmen før jeg rakk tenke selv. 

Fakta: det er Niko som tegner skrik på gulvet i Berlin. 

Og Dahlsbakken fikk ideen til Munch på en strand i 2018. Ingenting å gjøre med <i>I’m Not There.</i>

Det lighthouse greiene ble litt svakt. Men så jeg antagelig den eneste som har sett  lighthouse director's commentary 2 ganger.",vegaoslo,2023-02-01
2023-02-03,Paprika,2006,https://boxd.it/3NMPiV,4,,Inception er tidenes anime adaptation. Kult sett Henry.,,2023-02-02
2023-02-06,Suspiria,2018,https://boxd.it/3ONMzF,2,,"Skjønner ikke hva jeg er ment til å føle etter det her.

Men

Elska all dansen, whiplash scenene og Tilda.",,2023-02-05
2023-02-07,A Human Position,2022,https://boxd.it/3P55UV,4,,"Den her var perfekt i dag 
Trengte hvilepuls 

Filmen har kun statiske shots som uttrykker en utrolig rolig atmosfære. Virkningsfullt her men glad kamera kan bevege seg i andre verdener :)))",,2023-02-06
2023-02-13,Black Panther: Wakanda Forever,2022,https://boxd.it/3QHtxB,2,,"<i>40 minutter, jeg forsvant avsted
I drømmeland jeg var så med
Da jeg åpnet øynene mine igjen
Hadde ingenting skjedd, men noe var forskjellig allikevel  </i>

<i>Jeg spurte hva som hadde skjedd
Men svaret var et stort og tomt ""ikke noe spess""
Jeg hadde ikke mistet noe, det var klart
Og alt var bra, ingen fare, ingen fart

Så nå verdsetter jeg hvert eneste sekund
Av den tid jeg har, om det er kort eller langt
Og når jeg sovner igjen, så vet jeg nå
At tiden vil fly avgårde og jeg lar den få lov
</i>",,2023-02-12
2023-03-03,The Batman,2022,https://boxd.it/3VHqrZ,5,Yes,"Det han sa 👉🏼 <a href=""https://youtu.be/STynLl-2FqU"" title=""https://youtu.be/STynLl-2FqU "">https://youtu.be/STynLl-2FqU </a>",,2023-03-02
2023-03-16,The Banshees of Inisherin,2022,https://boxd.it/3Zk0xH,4,,"I stedet for å gi klare svar, inviterer filmen til videre diskusjon om temaer som undertrykkelse av negative følelser, viktigheten av å erkjenne og takle smerte, og kraften i ekte vennlighet og medfølelse.",,2023-03-15
2023-03-21,Kill Bill: Vol. 1,2003,https://boxd.it/40HmqD,5,Yes,Er Kill Bill Quentin Tarantino’s beste film eller bare den beste filmen punktum 🐯,,2023-03-20
